x ideal 100 200 300 400 500 600
1 1 0.96 0.98 0.98 0.97 0.97 0.97
2 1 0.87 1.03 1.63 1.59 1.35 1.03
4 1 0.77 0.96 1.55 1.51 1.35 1.05
6 1 0.66 0.89 1.49 1.72 1.68 1.45
8 1 0.56 0.81 1.40 1.61 1.73 1.60
10 1 0.46 0.71 1.28 1.47 1.63 1.61
12 1 0.41 0.65 1.18 1.44 1.55 1.55
14 1 0.35 0.58 1.08 1.33 1.45 1.48
16 1 0.30 0.51 1.00 1.21 1.35 1.41
18 1 0.26 0.45 0.91 1.13 1.27 1.31
20 1 0.21 0.40 0.79 1.01 1.16 1.22
22 1 0.18 0.35 0.72 0.95 1.09 1.16
24 1 0.16 0.33 0.67 0.88 1.01 1.07
26 1 0.15 0.29 0.60 0.79 0.93 0.99
28 1 0.13 0.25 0.55 0.74 0.86 0.91
30 1 0.11 0.24 0.50 0.67 0.80 0.86
32 1 0.10 0.22 0.46 0.62 0.75 0.81
34 1 0.08 0.19 0.39 0.57 0.67 0.75
36 1 0.08 0.18 0.37 0.52 0.62 0.70
38 1 0.07 0.16 0.36 0.47 0.60 0.65
40 1 0.06 0.14 0.33 0.42 0.54 0.62
42 1 0.05 0.13 0.30 0.40 0.47 0.54
44 1 0.05 0.11 0.27 0.38 0.45 0.51
46 1 0.04 0.10 0.24 0.35 0.42 0.46
48 1 0.04 0.09 0.22 0.32 0.40 0.43
50 1 0.04 0.09 0.21 0.31 0.38 0.40
52 1 0.03 0.08 0.19 0.28 0.36 0.40
54 1 0.03 0.07 0.17 0.25 0.30 0.38
56 1 0.03 0.07 0.16 0.23 0.30 0.35
58 1 0.03 0.06 0.15 0.22 0.28 0.32
60 1 0.03 0.06 0.14 0.20 0.26 0.31
62 1 0.02 0.05 0.13 0.19 0.24 0.28
63 1 0.02 0.05 0.12 0.17 0.22 0.26
