x ideal 100 200 300 400 500 600
1 1 1.00 1.00 1.02 1.01 1.00 0.99
2 1 0.93 1.07 1.71 1.64 1.38 1.10
4 1 0.87 1.05 1.68 1.73 1.43 1.17
6 1 0.80 1.01 1.64 1.83 1.89 1.65
8 1 0.75 0.92 1.59 1.80 1.89 1.84
10 1 0.70 0.91 1.55 1.74 1.84 1.79
12 1 0.69 0.88 1.48 1.70 1.80 1.78
14 1 0.64 0.82 1.42 1.65 1.75 1.67
16 1 0.58 0.77 1.35 1.59 1.69 1.69
18 1 0.51 0.72 1.29 1.55 1.64 1.64
20 1 0.46 0.68 1.23 1.46 1.57 1.60
22 1 0.41 0.64 1.17 1.40 1.51 1.55
24 1 0.37 0.63 1.10 1.31 1.46 1.50
26 1 0.33 0.60 1.04 1.29 1.40 1.43
28 1 0.30 0.56 0.98 1.22 1.34 1.38
30 1 0.28 0.53 0.95 1.16 1.28 1.33
32 1 0.25 0.48 0.88 1.09 1.22 1.28
34 1 0.23 0.45 0.87 1.05 1.17 1.28
36 1 0.21 0.42 0.85 0.99 1.14 1.20
38 1 0.19 0.39 0.80 0.94 1.07 1.15
40 1 0.17 0.36 0.75 0.91 1.02 1.12
42 1 0.16 0.34 0.70 0.85 1.00 1.06
44 1 0.14 0.30 0.67 0.81 0.94 1.01
46 1 0.14 0.28 0.62 0.81 0.90 0.97
48 1 0.13 0.27 0.58 0.79 0.88 0.93
50 1 0.12 0.25 0.53 0.74 0.84 0.90
52 1 0.11 0.23 0.50 0.71 0.81 0.86
54 1 0.10 0.22 0.48 0.67 0.75 0.82
56 1 0.10 0.20 0.45 0.61 0.74 0.79
58 1 0.09 0.19 0.42 0.59 0.72 0.76
60 1 0.08 0.18 0.40 0.56 0.67 0.73
62 1 0.08 0.17 0.38 0.53 0.64 0.69
63 1 0.08 0.17 0.37 0.52 0.63 0.68
