x ideal 100 200 300 400 500 600
1 1 0.96 0.98 0.98 0.97 0.97 0.97
2 2 1.73 2.05 3.25 3.17 2.7 2.06
4 4 3.06 3.84 6.19 6.05 5.38 4.19
6 6 3.93 5.34 8.95 10.29 10.05 8.71
8 8 4.51 6.45 11.22 12.87 13.82 12.82
10 10 4.59 7.14 12.82 14.73 16.28 16.11
12 12 4.92 7.79 14.21 17.24 18.54 18.62
14 14 4.87 8.12 15.09 18.59 20.34 20.66
16 16 4.85 8.2 15.97 19.34 21.54 22.58
18 18 4.7 8.06 16.31 20.28 22.8 23.57
20 20 4.25 8.03 15.75 20.2 23.26 24.47
22 22 3.91 7.74 15.89 20.99 24.02 25.45
24 24 3.88 8.02 16.18 21.19 24.33 25.64
26 26 3.81 7.6 15.5 20.58 24.14 25.85
28 28 3.54 6.99 15.41 20.65 24.06 25.46
30 30 3.34 7.07 15.13 20.18 24.04 25.7
32 32 3.22 6.95 14.72 19.75 24.08 25.79
34 34 2.88 6.57 13.31 19.46 22.7 25.61
36 36 2.78 6.33 13.34 18.89 22.49 25.08
38 38 2.63 6.05 13.76 18 22.85 24.59
40 40 2.45 5.64 13.33 16.79 21.46 24.64
42 42 2.28 5.25 12.5 16.84 19.59 22.61
44 44 2.18 5.01 11.95 16.81 19.66 22.35
46 46 2.04 4.68 11.19 16.15 19.13 21
48 48 1.92 4.44 10.59 15.59 19.06 20.69
50 50 1.87 4.32 10.31 15.35 19.09 20
52 52 1.76 4.1 9.82 14.48 18.5 20.82
54 54 1.65 3.93 9.31 13.76 16.42 20.42
56 56 1.6 3.71 8.81 13.03 16.77 19.63
58 58 1.53 3.54 8.46 12.48 16.11 18.74
60 60 1.5 3.46 8.26 12.25 15.74 18.35
62 62 1.44 3.33 7.92 11.67 15.04 17.58
63 63 1.37 3.14 7.26 10.69 13.67 16.4
