x ideal 100 200 300 400 500 600
1 1 1 1 1.02 1.01 1 0.99
2 2 1.86 2.13 3.42 3.28 2.76 2.2
4 4 3.46 4.18 6.73 6.9 5.71 4.68
6 6 4.82 6.07 9.86 11 11.32 9.89
8 8 5.99 7.39 12.72 14.36 15.11 14.72
10 10 6.95 9.05 15.53 17.39 18.35 17.89
12 12 8.24 10.5 17.72 20.41 21.57 21.33
14 14 8.9 11.53 19.93 23.05 24.55 23.43
16 16 9.28 12.24 21.57 25.49 27.1 27.07
18 18 9.17 12.96 23.14 27.83 29.43 29.58
20 20 9.17 13.52 24.51 29.23 31.49 32.03
22 22 8.93 14.1 25.66 30.81 33.28 34.05
24 24 8.88 15.11 26.29 31.52 34.99 36
26 26 8.7 15.6 27.08 33.46 36.37 37.29
28 28 8.35 15.63 27.52 34.2 37.48 38.73
30 30 8.27 15.77 28.64 34.86 38.29 40.01
32 32 7.87 15.43 28.25 34.93 39.17 41.09
34 34 7.74 15.29 29.44 35.81 39.91 43.36
36 36 7.42 15.11 30.5 35.81 41.19 43.06
38 38 7.07 14.77 30.43 35.81 40.71 43.63
40 40 6.82 14.59 30.16 36.36 40.93 44.74
42 42 6.65 14.1 29.6 35.58 41.9 44.32
44 44 6.35 13.3 29.47 35.79 41.54 44.64
46 46 6.24 13.09 28.7 37.25 41.61 44.8
48 48 6.07 12.79 28.01 37.74 42.34 44.4
50 50 5.87 12.28 26.55 37.05 41.91 45.07
52 52 5.76 12.11 26.13 37.09 41.97 44.88
54 54 5.56 11.77 25.67 36.12 40.64 44.47
56 56 5.37 11.43 25.03 34.09 41.44 44.24
58 58 5.23 11.13 24.59 34.07 41.65 43.96
60 60 5.06 10.87 23.98 33.4 39.93 43.87
62 62 4.9 10.57 23.58 32.78 39.45 43.02
63 63 4.84 10.51 23.48 32.57 39.39 42.72
